iter	Passed	Remaining
573	68633	50937
574	68770	50830
575	68910	50726
576	69035	50609
577	69165	50498
578	69294	50384
579	69424	50273
580	69559	50164
581	69710	50066
582	69840	49954
583	69995	49860
584	70127	49748
585	70258	49636
586	70391	49525
587	70519	49411
588	70654	49301
589	70789	49192
590	70923	49082
591	71054	48969
592	71185	48857
593	71319	48746
594	71453	48636
595	71583	48523
596	71715	48411
597	71850	48300
598	71986	48191
599	72117	48078
600	72246	47964
601	72385	47856
602	72516	47743
603	72648	47630
604	72777	47516
605	72915	47407
606	73047	47294
607	73185	47185
608	73314	47070
609	73451	46960
610	73586	46849
611	73715	46734
612	73847	46621
613	73982	46510
614	74110	46394
615	74240	46279
616	74371	46165
617	74503	46052
618	74628	45934
619	74760	45821
620	74895	45708
621	75043	45605
622	75181	45494
623	75317	45383
624	75454	45272
625	75586	45158
626	75718	45044
627	75845	44927
628	75979	44814
629	76108	44698
630	76241	44584
631	76366	44466
632	76492	44348
633	76623	44233
634	76748	44115
635	76871	43995
636	76995	43876
637	77116	43756
638	77231	43631
639	77351	43510
640	77475	43391
641	77601	43272
642	77721	43151
643	77845	43032
644	77964	42910
645	78083	42788
646	78207	42669
647	78336	42552
648	78460	42433
649	78582	42313
650	78730	42207
651	78851	42086
652	78991	41975
653	79155	41877
654	79309	41773
655	79454	41665
656	79589	41551
657	79720	41435
658	79839	41313
659	79966	41195
660	80098	41079
661	80223	40960
662	80357	40845
663	80486	40728
664	80616	40611
665	80751	40497
666	80887	40383
667	81023	40269
668	81156	40153
669	81289	40037
670	81418	39920
671	81544	39801
672	81669	39681
673	81795	39563
674	81985	39474
675	82124	39361
676	82263	39248
677	82404	39135
678	82546	39024
679	82687	38911
680	82830	38800
681	82974	38689
682	83120	38578
683	83247	38459
684	83377	38341
685	83501	38220
686	83622	38098
687	83752	37980
688	83885	37864
689	84018	37747
690	84150	37630
691	84278	37511
692	84404	37391
693	84526	37269
694	84649	37148
695	84773	37027
696	84895	36905
697	85023	36786
698	85147	36665
699	85266	36542
700	85390	36421
701	85516	36301
702	85645	36182
703	85769	36062
704	85884	35937
705	86010	35817
706	86134	35696
707	86253	35573
708	86380	35453
709	86500	35331
710	86624	35210
711	86745	35087
712	86865	34965
713	86991	34845
714	87111	34722
715	87234	34601
716	87357	34479
717	87482	34359
718	87608	34239
719	87731	34117
720	87853	33995
721	87978	33875
722	88101	33753
723	88224	33632
724	88351	33512
725	88474	33391
726	88600	33271
727	88732	33152
728	88849	33029
729	88973	32908
730	89094	32785
731	89220	32665
732	89342	32543
733	89459	32419
734	89582	32298
735	89706	32177
736	89830	32056
737	89951	31933
738	90073	31812
739	90192	31689
740	90317	31568
741	90446	31448
742	90570	31327
743	90694	31206
744	90819	31085
745	90944	30964
746	91070	30844
747	91188	30721
748	91306	30598
749	91429	30476
750	91554	30355
751	91676	30233
752	91800	30112
753	91925	29991
754	92050	29870
755	92174	29749
756	92293	29626
757	92419	29505
758	92539	29383
759	92663	29262
760	92784	29140
761	92909	29018
762	93038	28899
763	93164	28778
764	93289	28657
765	93414	28536
766	93539	28415
767	93662	28293
768	93784	28172
769	93908	28050
770	94035	27929
771	94161	27809
772	94287	27688
773	94409	27566
774	94537	27446
775	94663	27325
776	94783	27202
777	94908	27081
778	95033	26960
779	95159	26839
780	95279	26717
781	95409	26597
782	95537	26477
783	95669	26358
784	95797	26237
785	95917	26114
786	96045	25994
787	96167	25872
788	96295	25752
789	96425	25632
790	96554	25511
791	96679	25390
792	96799	25267
793	96916	25144
794	97036	25022
795	97152	24898
796	97275	24776
797	97392	24653
798	97511	24530
799	97631	24407
800	97756	24286
801	97884	24165
802	98006	24044
803	98130	23922
804	98257	23801
805	98380	23679
806	98501	23557
807	98623	23435
808	98746	23313
809	98870	23191
810	98988	23068
811	99112	22947
812	99239	22826
813	99368	22705
814	99490	22583
815	99610	22461
816	99736	22340
817	99861	22218
818	99980	22095
819	100104	21974
820	100225	21851
821	100353	21731
822	100480	21610
823	100601	21487
824	100723	21365
825	100839	21242
826	100957	21119
827	101085	20998
828	101204	20875
829	101329	20754
830	101462	20634
831	101581	20511
832	101701	20389
833	101820	20266
834	101944	20144
835	102064	20022
836	102188	19900
837	102312	19778
838	102435	19656
839	102562	19535
840	102688	19414
841	102811	19292
842	102935	19170
843	103060	19049
844	103183	18927
845	103305	18805
846	103435	18684
847	103558	18562
848	103679	18440
849	103797	18317
850	103917	18194
851	104042	18073
852	104166	17951
853	104295	17830
854	104416	17708
855	104539	17586
856	104661	17463
857	104783	17341
858	104907	17219
859	105028	17097
860	105155	16976
861	105276	16854
862	105399	16732
863	105524	16610
864	105652	16489
865	105774	16366
866	105897	16244
867	106017	16122
868	106142	16000
869	106261	15878
870	106387	15756
871	106506	15634
872	106645	15514
873	106769	15392
874	106895	15270
875	107020	15148
876	107147	15027
877	107272	14905
878	107400	14784
879	107524	14662
880	107642	14539
881	107768	14417
882	107893	14296
883	108015	14173
884	108135	14051
885	108260	13929
886	108387	13808
887	108512	13686
888	108637	13564
889	108764	13442
890	108889	13320
891	109012	13198
892	109131	13076
893	109256	12954
894	109378	12832
895	109501	12709
896	109625	12587
897	109746	12465
898	109878	12344
899	110004	12222
900	110132	12101
901	110255	11978
902	110382	11857
903	110511	11735
904	110638	11613
905	110761	11491
906	110885	11369
907	111006	11247
908	111130	11125
909	111255	11003
910	111375	10880
911	111506	10759
912	111627	10637
913	111749	10514
914	111871	10392
915	111997	10270
916	112124	10148
917	112250	10026
918	112376	9904
919	112512	9783
920	112640	9661
921	112765	9539
922	112888	9417
923	113014	9295
924	113156	9174
925	113276	9052
926	113398	8929
927	113521	8807
928	113649	8685
929	113774	8563
930	113900	8441
931	114029	8319
932	114157	8197
933	114280	8075
934	114402	7953
935	114522	7830
936	114645	7708
937	114772	7586
938	114891	7463
939	115014	7341
940	115143	7219
941	115268	7097
942	115389	6974
943	115517	6852
944	115639	6730
945	115764	6608
946	115883	6485
947	116004	6363
948	116127	6240
949	116252	6118
950	116375	5996
951	116496	5873
952	116614	5751
953	116736	5628
954	116859	5506
955	116981	5384
956	117097	5261
957	117220	5139
958	117347	5016
959	117471	4894
960	117596	4772
961	117715	4649
962	117838	4527
963	117959	4405
964	118077	4282
965	118201	4160
966	118328	4038
967	118453	3915
968	118579	3793
969	118696	3671
970	118815	3548
971	118936	3426
972	119065	3303
973	119184	3181
974	119309	3059
975	119433	2936
976	119554	2814
977	119677	2692
978	119794	2569
979	119913	2447
980	120034	2324
981	120159	2202
982	120277	2080
983	120394	1957
984	120519	1835
985	120641	1712
986	120762	1590
987	120880	1468
988	121009	1345
989	121131	1223
990	121251	1101
991	121372	978
992	121494	856
993	121615	734
994	121734	611
995	121860	489
996	121984	367
997	122106	244
998	122234	122
999	122351	0
